id,level,subject,mchoice,ans,eword,title,opa,opb,opc,opd,desc,options,sql,members
qitm:p01000,primary,en,N,B,read,read,vi.来，来到,v.阅读，朗读,vt.说，讲,v.&link感觉，摸,英[ri:d]美[rid] (read，read),"[{""k"":""A"", ""v"":""vi.来，来到""},{""k"":""B"",""v"":""v.阅读，朗读""},{""k"":""C"",""v"":""vt.说，讲""},{""k"":""D"",""v"":""v.&link感觉，摸""}]","(''qitm:p01000'',''primary'',''en'',''N'',''B'',''read'',''read'',''英[ri:d]美[rid] (read，read)'',''[{""k"":""A"", ""v"":""vi.来，来到""},{""k"":""B"",""v"":""v.阅读，朗读""},{""k"":""C"",""v"":""vt.说，讲""},{""k"":""D"",""v"":""v.&link感觉，摸""}]''),"
qitm:p01001,primary,en,N,D,wear,wear,v.拿来,v.旋转，转变n.轮流,v.阅读，朗读,v.穿，戴,英[weə(r)]美[wer] (wore，worn),"[{""k"":""A"", ""v"":""v.拿来""},{""k"":""B"",""v"":""v.旋转，转变n.轮流""},{""k"":""C"",""v"":""v.阅读，朗读""},{""k"":""D"",""v"":""v.穿，戴""}]","(''qitm:p01001'',''primary'',''en'',''N'',''D'',''wear'',''wear'',''英[weə(r)]美[wer] (wore，worn)'',''[{""k"":""A"", ""v"":""v.拿来""},{""k"":""B"",""v"":""v.旋转，转变n.轮流""},{""k"":""C"",""v"":""v.阅读，朗读""},{""k"":""D"",""v"":""v.穿，戴""}]''),"
qitm:p01002,primary,en,N,B,drink,drink,v.绘画,v.喝n.饮料,vt.制造，使得,v.听见，听说,英[driŋk]美[driŋk] (drank，drunk),"[{""k"":""A"", ""v"":""v.绘画""},{""k"":""B"",""v"":""v.喝n.饮料""},{""k"":""C"",""v"":""vt.制造，使得""},{""k"":""D"",""v"":""v.听见，听说""}]","(''qitm:p01002'',''primary'',''en'',''N'',''B'',''drink'',''drink'',''英[driŋk]美[driŋk] (drank，drunk)'',''[{""k"":""A"", ""v"":""v.绘画""},{""k"":""B"",""v"":""v.喝n.饮料""},{""k"":""C"",""v"":""vt.制造，使得""},{""k"":""D"",""v"":""v.听见，听说""}]''),"
qitm:p01003,primary,en,N,D,draw,draw,v.玩，播放n.玩耍,v.喝n.饮料,vt.让,v.绘画,英[drɔ:]美[drɔ] (drew，drawn),"[{""k"":""A"", ""v"":""v.玩，播放n.玩耍""},{""k"":""B"",""v"":""v.喝n.饮料""},{""k"":""C"",""v"":""vt.让""},{""k"":""D"",""v"":""v.绘画""}]","(''qitm:p01003'',''primary'',''en'',''N'',''D'',''draw'',''draw'',''英[drɔ:]美[drɔ] (drew，drawn)'',''[{""k"":""A"", ""v"":""v.玩，播放n.玩耍""},{""k"":""B"",""v"":""v.喝n.饮料""},{""k"":""C"",""v"":""vt.让""},{""k"":""D"",""v"":""v.绘画""}]''),"
qitm:p01004,primary,en,N,C,begin,begin,v.站立，经受,vi.生活，活着,v.开始，着手,v.问，请求,英[bi''gin]美[bi''gin] (began，begun),"[{""k"":""A"", ""v"":""v.站立，经受""},{""k"":""B"",""v"":""vi.生活，活着""},{""k"":""C"",""v"":""v.开始，着手""},{""k"":""D"",""v"":""v.问，请求""}]","(''qitm:p01004'',''primary'',''en'',''N'',''C'',''begin'',''begin'',''英[bi''gin]美[bi''gin] (began，begun)'',''[{""k"":""A"", ""v"":""v.站立，经受""},{""k"":""B"",""v"":""vi.生活，活着""},{""k"":""C"",""v"":""v.开始，着手""},{""k"":""D"",""v"":""v.问，请求""}]''),"
qitm:p01005,primary,en,N,D,do,do,vi.来，来到,vt.让,v.听见，听说,v.&aux.做,英[du]美[du] (did，done),"[{""k"":""A"", ""v"":""vi.来，来到""},{""k"":""B"",""v"":""vt.让""},{""k"":""C"",""v"":""v.听见，听说""},{""k"":""D"",""v"":""v.&aux.做""}]","(''qitm:p01005'',''primary'',''en'',''N'',''D'',''do'',''do'',''英[du]美[du] (did，done)'',''[{""k"":""A"", ""v"":""vi.来，来到""},{""k"":""B"",""v"":""vt.让""},{""k"":""C"",""v"":""v.听见，听说""},{""k"":""D"",""v"":""v.&aux.做""}]''),"
qitm:p01006,primary,en,N,B,buy,buy,v.学习n.书房,v.买n.交易,vt.让,v.吃，喝，进食,英[bai]美[bai] (bought，bought),"[{""k"":""A"", ""v"":""v.学习n.书房""},{""k"":""B"",""v"":""v.买n.交易""},{""k"":""C"",""v"":""vt.让""},{""k"":""D"",""v"":""v.吃，喝，进食""}]","(''qitm:p01006'',''primary'',''en'',''N'',''B'',''buy'',''buy'',''英[bai]美[bai] (bought，bought)'',''[{""k"":""A"", ""v"":""v.学习n.书房""},{""k"":""B"",""v"":""v.买n.交易""},{""k"":""C"",""v"":""vt.让""},{""k"":""D"",""v"":""v.吃，喝，进食""}]''),"
qitm:p01007,primary,en,N,C,bring,bring,vt.给，付出,vt.拿走，乘坐,v.拿来,vt.遇见n.会面,英[briŋ]美[briŋ] (brought，brought),"[{""k"":""A"", ""v"":""vt.给，付出""},{""k"":""B"",""v"":""vt.拿走，乘坐""},{""k"":""C"",""v"":""v.拿来""},{""k"":""D"",""v"":""vt.遇见n.会面""}]","(''qitm:p01007'',''primary'',''en'',''N'',''C'',''bring'',''bring'',''英[briŋ]美[briŋ] (brought，brought)'',''[{""k"":""A"", ""v"":""vt.给，付出""},{""k"":""B"",""v"":""vt.拿走，乘坐""},{""k"":""C"",""v"":""v.拿来""},{""k"":""D"",""v"":""vt.遇见n.会面""}]''),"
qitm:p01008,primary,en,N,C,please,please,vt.观看，注意,v.绘画,v.请，使人高兴,vt.让,英[pli:z]美[pliz] ,"[{""k"":""A"", ""v"":""vt.观看，注意""},{""k"":""B"",""v"":""v.绘画""},{""k"":""C"",""v"":""v.请，使人高兴""},{""k"":""D"",""v"":""vt.让""}]","(''qitm:p01008'',''primary'',''en'',''N'',''C'',''please'',''please'',''英[pli:z]美[pliz] '',''[{""k"":""A"", ""v"":""vt.观看，注意""},{""k"":""B"",""v"":""v.绘画""},{""k"":""C"",""v"":""v.请，使人高兴""},{""k"":""D"",""v"":""vt.让""}]''),"
qitm:p01009,primary,en,N,D,try,try,v.解答，回答n.答案,v.站立，经受,vt.找到，发现,v.试图，努力,英[trai]美[trai] ,"[{""k"":""A"", ""v"":""v.解答，回答n.答案""},{""k"":""B"",""v"":""v.站立，经受""},{""k"":""C"",""v"":""vt.找到，发现""},{""k"":""D"",""v"":""v.试图，努力""}]","(''qitm:p01009'',''primary'',''en'',''N'',''D'',''try'',''try'',''英[trai]美[trai] '',''[{""k"":""A"", ""v"":""v.解答，回答n.答案""},{""k"":""B"",""v"":""v.站立，经受""},{""k"":""C"",""v"":""vt.找到，发现""},{""k"":""D"",""v"":""v.试图，努力""}]''),"
